instances/mansion.txt,0,1,0,0.0
instances/mansion.txt,231,1,1,0.004000186920166016
instances/mansion.txt,446,1,2,0.012001752853393555
instances/mansion.txt,670,1,3,0.025000333786010742
instances/mansion.txt,799,1,4,0.02499985694885254
instances/mansion.txt,811,1,5,0.029000520706176758
instances/mansion.txt,973,1,6,0.06899881362915039
instances/mansion.txt,1174,1,7,0.08100056648254395
instances/mansion.txt,1239,1,8,0.09199953079223633
instances/mansion.txt,1317,1,9,0.10399985313415527
instances/mansion.txt,1367,1,10,0.12299942970275879
instances/mansion.txt,1469,1,11,0.18400311470031738
instances/mansion.txt,1509,1,12,0.2070002555847168
instances/mansion.txt,1512,1,13,0.22299981117248535
instances/mansion.txt,1548,1,14,0.24200057983398438
instances/mansion.txt,1667,1,15,0.28800010681152344
instances/mansion.txt,1781,1,16,0.323000431060791
instances/mansion.txt,1826,1,17,0.34399914741516113
instances/mansion.txt,2001,2,18,2.7586233615875244
instances/mansion.txt,2049,2,19,2.746999740600586
instances/mansion.txt,2231,2,20,3.0580108165740967
instances/mansion.txt,2278,2,21,3.07900071144104
instances/mansion.txt,2447,2,22,3.1660001277923584
instances/mansion.txt,2517,2,23,3.339099645614624
instances/mansion.txt,2739,2,24,3.44599986076355
instances/mansion.txt,2815,2,25,3.635002851486206
instances/mansion.txt,2893,2,26,3.8230016231536865
instances/mansion.txt,3016,2,27,3.9599878787994385
instances/mansion.txt,3070,2,28,4.126002788543701
instances/mansion.txt,3164,2,29,4.198860168457031
instances/mansion.txt,3185,2,30,4.274000883102417
instances/mansion.txt,3335,2,31,4.650000333786011
instances/mansion.txt,3430,2,32,4.931374788284302
instances/mansion.txt,3537,2,33,5.1429994106292725
instances/mansion.txt,3552,2,34,5.276012420654297
instances/mansion.txt,3687,2,35,5.333001375198364
instances/mansion.txt,3835,2,36,5.627011060714722
instances/mansion.txt,4018,2,37,6.318999767303467
